Código;Capítulo;Subcapítulo;Residuo
01 01 01;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;01 | Residuos de la extracción de minerales;01 01 01 | Residuos de la extracción de minerales metálicos
01 01 02;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;01 | Residuos de la extracción de minerales;01 01 02 | Residuos de la extracción de minerales no metálicos
01 03 06;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;03 | Residuos de la transformación física y química de minerales metálicos;01 03 06 | Estériles distintos de los mencionados en los códigos 01 03 04 y 01 03 05
01 03 08;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;03 | Residuos de la transformación física y química de minerales metálicos;01 03 08 | Residuos de polvo y arenilla distintos de los mencionados en el código 01 03 07
01 03 09;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;03 | Residuos de la transformación física y química de minerales metálicos;01 03 09 | Lodos rojos de la producción de alúmina distintos de los mencionados en el código 01 03 07
01 03 99;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;03 | Residuos de la transformación física y química de minerales metálicos;01 03 99 | Residuos no especificados en otra categoría
01 04 08;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 08 | Residuos de grava y rocas trituradas distintos de los mencionados en el código 01 04 07
01 04 09;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 09 | Residuos de arena y arcillas
01 04 10;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 10 | Residuos de polvo y arenilla distintos de los mencionados en el código 01 04 07
01 04 11;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 11 | Residuos de la transformación de potasa y sal gema distintos de los mencionados en el código 01 04 07
01 04 12;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 12 | Estériles y otros residuos del lavado y limpieza de minerales, distintos de los mencionados en los códigos 01 04 07 y 01 04 11
01 04 13;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 13 | Residuos del corte y serrado de piedra distintos de los mencionados en el código 01 04 07
01 04 99;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;04 | Residuos de la transformación física y química de minerales no metálicos;01 04 99 | Residuos no especificados en otra categoría
01 05 04;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;05 | Lodos y otros residuos de perforaciones;01 05 04 | Lodos y residuos de perforaciones que contienen agua dulce
01 05 07;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;05 | Lodos y otros residuos de perforaciones;01 05 07 | Lodos y otros residuos de perforaciones que contienen sales de bario distintos de los mencionados en los códigos 01 05 05 y 01 05 06
01 05 08;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;05 | Lodos y otros residuos de perforaciones;01 05 08 | Lodos y otros residuos de perforaciones que contienen cloruros distintos de los mencionados en los códigos 01 05 05 y 01 05 06
01 05 99;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;05 | Lodos y otros residuos de perforaciones;01 05 99 | Residuos no especificados en otra categoría
02 01 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 01 | Lodos de lavado y limpieza
02 01 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 02 | Residuos de tejidos de animales
02 01 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 03 | Residuos de tejidos de vegetales
02 01 04;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 04 | Residuos de plásticos (excepto embalajes)
02 01 06;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 06 | Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan
02 01 07;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 07 | Residuos de la silvicultura
02 01 09;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 09 | Residuos agroquímicos distintos de los mencionados en el código 02 01 08
02 01 10;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 10 | Residuos metálicos
02 01 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";01 | Residuos de la agricultura, horticultura, silvicultura y caza;02 01 99 | Residuos no especificados en otra categoría
02 02 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne y otros alimentos de origen animal;02 02 01 | Lodos de lavado y limpieza
02 02 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne y otros alimentos de origen animal;02 02 02 | Residuos de tejidos de animales
02 02 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne y otros alimentos de origen animal;02 02 03 | Materiales inadecuados para el consumo o la elaboración
02 02 04;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne y otros alimentos de origen animal;02 02 04 | Lodos del tratamiento in situ de efluentes
02 02 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";02 | Residuos de la preparación y elaboración de carne y otros alimentos de origen animal;02 02 99 | Residuos no especificados en otra categoría
02 03 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 01 | Lodos de lavado, limpieza, pelado, centrifugado y separación
02 03 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 02 | Residuos de conservantes
02 03 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 03 | Residuos de la extracción con disolventes
02 03 04;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 04 | Materiales inadecuados para el consumo o la elaboración
02 03 05;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 05 | Lodos del tratamiento in situ de efluentes
02 03 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";"03 | Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";02 03 99 | Residuos no especificados en otra categoría
02 04 01;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";04 | Residuos de la elaboración de azúcar;02 04 01 | Tierra procedente de la limpieza y lavado de la remolacha
02 04 02;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";04 | Residuos de la elaboración de azúcar;02 04 02 | Carbonato cálcico fuera de especificación
02 04 03;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";04 | Residuos de la elaboración de azúcar;02 04 03 | Lodos del tratamiento in situ de efluentes
02 04 99;"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos";04 | Residuos de la elaboración de azúcar;02 04 99 | Residuos no especificados en otra categoría
